,区名,3月28日,3月29,3月30日,3月31日,4月1日,4月2日,4月3日,4月4日,4月5日,4月6日,4月7日,4月8日,4月9日,4月10日,4月11日,4月12日,4月13日,4月14日,4月15日,4月16日,4月17日,4月18日,4月19日,4月20日,4月21日,4月22日
0,浦东,119,286,529,707,778,881,1017,1218,1376,1517,1807,2134,2596,2704,3112,3229,3838,5090,5458,6256,6269,6707,6344,6506,6108,5867
1,黄浦,14,18,30,37,41,67,80,86,102,110,124,161,257,285,382,455,681,947,1191,1372,1531,1745,2062,2263,2345,2684
2,徐汇,31,64,75,93,129,171,204,211,228,246,283,386,407,431,445,499,641,948,1215,1375,1519,1515,1588,1734,2002,2042
3,长宁,10,13,21,64,62,69,82,83,89,118,145,160,178,171,170,260,348,490,711,822,866,1033,1028,1125,1157,1271
4,静安,30,37,45,49,59,82,109,108,119,141,159,192,211,227,236,311,359,423,511,646,769,953,1144,1276,1387,1439
5,普陀,14,20,26,31,43,82,103,102,108,134,143,157,175,175,205,254,299,335,394,536,858,875,943,956,993,994
6,虹口,8,14,15,23,25,54,65,70,77,77,103,117,118,118,132,215,336,510,794,950,1213,1412,1503,1556,1556,1912
7,杨浦,3,6,9,14,25,44,74,84,93,104,133,142,173,223,238,297,350,398,671,753,770,801,844,1036,1075,1149
8,闵行,63,77,94,149,199,249,305,313,326,345,436,481,542,606,622,859,1158,1430,1690,2562,2651,2908,3203,3432,3344,3418
9,宝山,25,57,56,60,69,104,136,137,143,148,151,170,195,207,240,210,188,208,259,285,356,525,532,607,719,845
10,嘉定,31,35,43,48,57,82,94,95,103,106,125,235,234,281,296,273,255,378,501,562,859,885,901,885,893,872
11,金山,3,4,4,6,9,9,13,14,15,18,90,129,151,149,107,11,18,39,56,55,53,44,36,37,40,33
12,松江,6,21,28,33,52,58,64,69,83,84,190,292,289,573,582,658,789,967,1133,1200,1323,1446,1454,1505,1420,1337
13,青浦,3,2,7,8,8,11,14,15,21,25,29,52,58,51,53,114,213,337,467,508,517,574,625,729,768,778
14,奉贤,1,2,9,14,16,24,27,29,30,30,60,72,81,87,77,78,80,97,119,141,141,135,135,140,144,147
15,崇明,2,3,3,4,5,6,7,7,9,9,11,14,18,18,24,53,59,87,135,147,156,159,180,186,210,222
